binmids - fit	dM/dlogD (ug/m3) - fit	dN/dlogD (1/cm3) - fit	binmids - meas	dM/dlogD (ug/m3) - meas	dN/dlogD (1/cm3) - meas																								
10	8.23E-11	0.000885988	52.9436	4.63E-05	0.330961																								
10.4762	1.37E-10	0.00117445	58.2156	6.71E-05	0.360753																								
10.975	2.26E-10	0.00154642	64.0124	8.81E-05	0.356376																								
11.4976	3.70E-10	0.00202258	70.3866	0.000124549	0.378967																								
12.045	6.00E-10	0.00262764	77.3954	0.000161327	0.369225																								
12.6186	9.66E-10	0.00339088	85.1021	0.000214806	0.36979																								
13.2194	1.54E-09	0.00434653	93.5763	0.000269003	0.348328																								
13.8489	2.44E-09	0.00553424	102.894	0.000316458	0.308228																								
14.5083	3.83E-09	0.00699935	113.14	0.000369647	0.270811																								
15.1991	5.96E-09	0.0087931	124.406	0.000444033	0.244691																								
15.9228	9.19E-09	0.0109726	136.794	0.000490176	0.203179																								
16.681	1.41E-08	0.0136008	150.415	0.000534379	0.16661																								
17.4753	2.13E-08	0.0167456	165.393	0.000584004	0.136959																								
18.3074	3.21E-08	0.0204797	181.863	0.000540286	0.0953066																								
19.1791	4.79E-08	0.0248789	199.972	0.000552284	0.07328																								
20.0923	7.09E-08	0.0300208	219.884	0.000461201	0.0460295																								
21.049	1.04E-07	0.0359831	241.779	0.000441994	0.0331808																								
22.0513	1.51E-07	0.042841	265.855	0.000587613	0.0331807																								
23.1013	2.18E-07	0.0506646	292.328	0.000245998	0.0104484																								
24.2013	3.13E-07	0.0595161	321.437	0.000318207	0.0101661																								
25.3536	4.43E-07	0.0694463																											
26.5609	6.24E-07	0.0804911																											
27.8256	8.71E-07	0.0926684																											
29.1505	1.20E-06	0.105974																											
30.5386	1.65E-06	0.120379																											
31.9927	2.25E-06	0.135828																											
33.516	3.04E-06	0.152234																											
35.1119	4.06E-06	0.16948																											
36.7838	5.39E-06	0.187417																											
38.5353	7.09E-06	0.205866																											
40.3702	9.25E-06	0.224618																											
42.2924	1.20E-05	0.243438																											
44.3062	1.54E-05	0.26207																											
46.4159	1.95E-05	0.280241																											
48.626	2.47E-05	0.297666																											
50.9414	3.09E-05	0.31406																											
53.367	3.83E-05	0.329139																											
55.9081	4.71E-05	0.342635																											
58.5702	5.75E-05	0.354297																											
61.3591	6.95E-05	0.363906																											
64.2807	8.34E-05	0.371274																											
67.3415	9.93E-05	0.376257																											
70.548	0.000117117	0.378756																											
73.9072	0.000137029	0.37872																											
77.4264	0.000158987	0.376151																											
81.1131	0.000182924	0.3711																											
84.9753	0.000208707	0.363667																											
89.0215	0.000236136	0.353999																											
93.2603	0.000264938	0.342282																											
97.701	0.00029477	0.328738																											
102.353	0.000325223	0.313618																											
107.227	0.000355825	0.297192																											
112.332	0.000386056	0.279742																											
117.681	0.000415356	0.261555																											
123.285	0.000443148	0.242914																											
129.155	0.000468852	0.224092																											
135.305	0.000491903	0.205345																											
141.747	0.000511777	0.186908																											
148.497	0.000528008	0.168988																											
155.568	0.000540204	0.151764																											
162.975	0.000548066	0.135383																											
170.735	0.000551399	0.119963																											
178.865	0.000550118	0.105587																											
187.382	0.000544257	0.0923129																											
196.304	0.000533962	0.0801673																											
205.651	0.000519486	0.0691539																											
215.443	0.000501182	0.0592545																											
225.702	0.000479485	0.0504324																											
236.449	0.000454896	0.0426366																											
247.708	0.000427963	0.0358048																											
259.502	0.000399263	0.0298664																											
271.859	0.000369377	0.0247463																											
284.804	0.000338873	0.0203668																											
298.365	0.000308293	0.0166501																											
312.572	0.000278129	0.0135207																											
327.455	0.000248821	0.010906																											
343.047	0.000220743	0.00873803																											
359.381	0.000194197	0.00695421																											
376.494	0.000169417	0.00549752																											
394.421	0.000146565	0.00431688																											
413.201	0.000125736	0.00336712																											
432.876	0.000106967	0.00260874																											
453.488	9.02E-05	0.00200765																											
475.081	7.55E-05	0.00153472																											
497.702	6.26E-05	0.00116535																											
521.401	5.15E-05	0.000878956																											
546.228	4.20E-05	0.00065851																											
572.237	3.40E-05	0.000490052																											
599.484	2.73E-05	0.000362249																											
628.029	2.17E-05	0.000265984																											
657.933	1.71E-05	0.000193995																											
689.261	1.34E-05	0.000140542																											
722.081	1.04E-05	0.000101137																											
756.463	7.99E-06	7.23E-05																											
792.483	6.10E-06	5.13E-05																											
830.218	4.61E-06	3.62E-05																											
869.749	3.46E-06	2.54E-05																											
911.163	2.57E-06	1.76E-05																											
954.548	1.90E-06	1.22E-05																											
1000	1.39E-06	8.38E-06																											
