time centers	number conc BBHG	mass conc BBHG	"this is for 20110801 sp217 using calib ID 1 (linear fit) with AD corr added, file x001-x007"	
8-1-2011 00:08:02	0.0149213	2.22E-05		
8-1-2011 00:09:02				
8-1-2011 00:10:02				
8-1-2011 00:11:02				
8-1-2011 00:12:02				
8-1-2011 00:13:02				
8-1-2011 00:14:02				
8-1-2011 00:15:02				
8-1-2011 00:16:02				
8-1-2011 00:17:02				
8-1-2011 00:18:02	0.00668758	5.55E-06		
8-1-2011 00:19:02				
8-1-2011 00:20:02				
8-1-2011 00:21:02				
8-1-2011 00:22:02				
8-1-2011 00:23:02				
8-1-2011 00:24:02				
8-1-2011 00:25:02				
8-1-2011 00:26:02				
8-1-2011 00:27:02				
8-1-2011 00:28:02	0.00749419	7.29E-06		
8-1-2011 00:29:02				
8-1-2011 00:30:02				
8-1-2011 00:31:02				
8-1-2011 00:32:02				
8-1-2011 00:33:02				
8-1-2011 00:34:02				
8-1-2011 00:35:02				
8-1-2011 00:36:02				
8-1-2011 00:37:02				
8-1-2011 00:38:02	0.00749198	8.47E-06		
8-1-2011 00:39:02				
8-1-2011 00:40:02				
8-1-2011 00:41:02				
8-1-2011 00:42:02				
8-1-2011 00:43:02				
8-1-2011 00:44:02				
8-1-2011 00:45:02				
8-1-2011 00:46:02				
8-1-2011 00:47:02				
8-1-2011 00:48:02	0.00832324	2.09E-05		
8-1-2011 00:49:02				
8-1-2011 00:50:02				
8-1-2011 00:51:02				
8-1-2011 00:52:02				
8-1-2011 00:53:02				
8-1-2011 00:54:02				
8-1-2011 00:55:02				
8-1-2011 00:56:02				
8-1-2011 00:57:02				
8-1-2011 00:58:02	0.0108508	2.87E-05		
8-1-2011 00:59:02				
8-1-2011 01:00:02				
8-1-2011 01:01:02				
8-1-2011 01:02:02				
8-1-2011 01:03:02				
8-1-2011 01:04:02				
8-1-2011 01:05:02				
8-1-2011 01:06:02				
8-1-2011 01:07:02				
8-1-2011 01:08:02	0.0108168	2.47E-05		
8-1-2011 01:09:02				
8-1-2011 01:10:02				
8-1-2011 01:11:02				
8-1-2011 01:12:02				
8-1-2011 01:13:02				
8-1-2011 01:14:02				
8-1-2011 01:15:02				
8-1-2011 01:16:02				
8-1-2011 01:17:02				
8-1-2011 01:18:02	0.0148985	4.72E-05		
8-1-2011 01:19:02				
8-1-2011 01:20:02				
8-1-2011 01:21:02				
8-1-2011 01:22:02				
8-1-2011 01:23:02				
8-1-2011 01:24:02				
8-1-2011 01:25:02				
8-1-2011 01:26:02				
8-1-2011 01:27:02				
8-1-2011 01:28:02	0.0124986	1.31E-05		
8-1-2011 01:29:02				
8-1-2011 01:30:02				
8-1-2011 01:31:02				
8-1-2011 01:32:02				
8-1-2011 01:33:02				
8-1-2011 01:34:02				
8-1-2011 01:35:02				
8-1-2011 01:36:02				
8-1-2011 01:37:02				
8-1-2011 01:38:02	0.0108357	3.33E-05		
8-1-2011 01:39:02				
8-1-2011 01:40:02				
8-1-2011 01:41:02				
8-1-2011 01:42:02				
8-1-2011 01:43:02				
8-1-2011 01:44:02				
8-1-2011 01:45:02				
8-1-2011 01:46:02				
8-1-2011 01:47:02				
8-1-2011 01:48:02	0.0116685	4.59E-05		
8-1-2011 01:49:02				
8-1-2011 01:50:02				
8-1-2011 01:51:02				
8-1-2011 01:52:02				
8-1-2011 01:53:02				
8-1-2011 01:54:02				
8-1-2011 01:55:02				
8-1-2011 01:56:02				
8-1-2011 01:57:02				
8-1-2011 01:58:02	0.0108402	2.31E-05		
8-1-2011 01:59:02				
8-1-2011 02:00:02				
8-1-2011 02:01:02				
8-1-2011 02:02:02				
8-1-2011 02:03:02				
8-1-2011 02:04:02				
8-1-2011 02:05:02				
8-1-2011 02:06:02				
8-1-2011 02:07:02				
8-1-2011 02:08:02	0.0108345	1.64E-05		
8-1-2011 02:09:02				
8-1-2011 02:10:02				
8-1-2011 02:11:02				
8-1-2011 02:12:02				
8-1-2011 02:13:02				
8-1-2011 02:14:02				
8-1-2011 02:15:02				
8-1-2011 02:16:02				
8-1-2011 02:17:02				
