time centers	number conc comb	mass conc comb	number conc BBHG	mass conc BBHG	number conc BBLG	mass conc BBLG	"this is for 20120601 sp244 using calib ID 8,9 (linear fits) with AD corr added, file x001-x013"																						
6-1-2012 00:00:30	1.19209	0.00267959	1.19209	0.00246742	1.19209	0.00271652																							
6-1-2012 00:01:30	1.13728	0.00222663	1.13728	0.00219751	1.13728	0.00227309																							
6-1-2012 00:02:30	1.59989	0.00252525	1.59989	0.00252525	1.53323	0.00257697																							
6-1-2012 00:03:30	3.46738	0.00490215	3.46738	0.00490215	3.46738	0.00498899																							
6-1-2012 00:04:30	6.15267	0.00597472	6.15267	0.00597472	6.15267	0.00611903																							
6-1-2012 00:05:30	5.56203	0.00805474	5.56203	0.00803442	5.56203	0.00819723																							
6-1-2012 00:06:30	3.69212	0.00825474	3.69212	0.00686619	3.69212	0.00833028																							
6-1-2012 00:07:30	3.79892	0.00727407	3.79892	0.00592766	3.79892	0.00736649																							
6-1-2012 00:08:30	2.72428	0.00685521	2.72428	0.00529428	2.72428	0.00688827																							
6-1-2012 00:09:30	3.72198	0.0050377	3.72198	0.0050377	3.72198	0.0051364																							
6-1-2012 00:10:30	2.79946	0.00256203	2.79946	0.00256203	2.79946	0.00263823																							
6-1-2012 00:11:30	2.53412	0.00678388	2.53412	0.0045445	2.53412	0.00683524																							
6-1-2012 00:12:30	2.86561	0.00368764	2.86561	0.00368764	2.86561	0.00375585																							
6-1-2012 00:13:30	2.40705	0.00895587	2.40705	0.00444758	2.40705	0.00900293																							
6-1-2012 00:14:30	3.39117	0.00406794	3.39117	0.00406794	3.39117	0.00419691																							
6-1-2012 00:15:30	4.07897	0.00577395	4.07897	0.00577395	4.07897	0.00585962																							
6-1-2012 00:16:30	4.46912	0.0071593	4.46912	0.0065593	4.46912	0.00727322																							
6-1-2012 00:17:30	4.84775	0.00509226	4.84775	0.00509226	4.84775	0.00522048																							
6-1-2012 00:18:30	4.41436	0.0105595	4.41436	0.00668192	4.41436	0.0106447																							
6-1-2012 00:19:30	4.79923	0.00681854	4.79923	0.00569141	4.73257	0.0069464																							
6-1-2012 00:20:30	4.26796	0.00674256	4.26796	0.00629227	4.26796	0.00683605																							
6-1-2012 00:21:30	4.73417	0.00471339	4.73417	0.00471339	4.73417	0.00481706																							
6-1-2012 00:22:30	4.73046	0.00638461	4.73046	0.00638461	4.73046	0.00648381																							
6-1-2012 00:23:30	4.38715	0.00597221	4.38715	0.00597221	4.38715	0.00606678																							
6-1-2012 00:24:30	4.9494	0.007114	4.9494	0.007114	4.9494	0.00722002																							
6-1-2012 00:25:30	5.73398	0.0121764	5.73398	0.0100785	5.73398	0.0122994																							
6-1-2012 00:26:30	3.86548	0.00320989	3.86548	0.00320989	3.86548	0.00329595																							
6-1-2012 00:27:30	3.73403	0.00492332	3.73403	0.00448318	3.73403	0.005028																							
6-1-2012 00:28:30	2.65784	0.00491995	2.65784	0.00491995	2.65784	0.00501895																							
6-1-2012 00:29:30	2.20782	0.00406862	2.20782	0.0032774	2.20782	0.00412993																							
6-1-2012 00:30:30	4.91548	0.00796336	4.91548	0.00790959	4.91548	0.00810634																							
6-1-2012 00:31:30	5.08508	0.00830176	5.08508	0.00816821	5.08508	0.00843864																							
6-1-2012 00:32:30	5.73194	0.0123885	5.73194	0.0105295	5.73194	0.0125252																							
6-1-2012 00:33:30	9.80141	0.0094072	9.80141	0.0094072	9.80141	0.0096525																							
6-1-2012 00:34:30	7.42545	0.0107474	7.42545	0.00887732	7.42545	0.0109236																							
6-1-2012 00:35:30	10.5312	0.019968	10.5312	0.0147394	10.5312	0.0201832																							
6-1-2012 00:36:30	10.3988	0.0111607	10.3988	0.0111607	10.3988	0.0114549																							
6-1-2012 00:37:30	5.00143	0.00447251	5.00143	0.00447251	4.86806	0.00460148																							
6-1-2012 00:38:30	1.79979	0.00331524	1.79979	0.00331524	1.79979	0.00336728																							
6-1-2012 00:39:30	1.53317	0.00165225	1.53317	0.00165225	1.53317	0.00168715																							
6-1-2012 00:40:30	1.2664	0.00129206	1.2664	0.00129206	1.2664	0.00132321																							
