binmids - fit	dM/dlogD (ug/m3) - fit comb	dN/dlogD (1/cm3) - fit comb	binmids - meas	dM/dlogD (ug/m3) - meas	dN/dlogD (1/cm3) - meas		dM/dlogD (ug/m3) - fit HG	dM/dlogD (ug/m3) - fit lG	dN/dlogD (1/cm3) - fit HG	dN/dlogD (1/cm3) - fit LG	dM/dlogD (ug/m3) - meas HG	dM/dlogD (ug/m3) - meas HG bins	dN/dlogD (1/cm3) - meas HG	dN/dlogD (1/cm3) - meas HG bins													
10	6.55E-14	1.44E-05	76.4901	0.0016774	3.97696		7.02E-17	4.87E-11	0.000188836	6.06E-09	0.00207322	74.1588	5.39369	74.1588													
10.4762	1.47E-13	2.33E-05	86.844	0.00165024	2.67335		1.98E-16	9.05E-11	0.000276508	1.33E-08	0.00116188	79.143	2.48686	79.143													
10.975	3.27E-13	3.71E-05	98.5995	0.00273854	3.03127		5.52E-16	1.66E-10	0.000401865	2.86E-08	0.00150415	84.4623	2.64869	84.4623													
11.4976	7.18E-13	5.87E-05	111.946	0.00487256	3.68517		1.51E-15	3.03E-10	0.000579698	6.08E-08	0.00187352	90.139	2.71424	90.139													
12.045	1.55E-12	9.21E-05	127.1	0.00777299	4.01684		4.06E-15	5.45E-10	0.000829988	1.27E-07	0.00248348	96.1973	2.96006	96.1973													
12.6186	3.32E-12	0.000142974	144.304	0.0108321	3.82476		1.08E-14	9.73E-10	0.00117948	2.62E-07	0.00325261	102.663	3.18949	102.663													
13.2194	7.01E-12	0.000219965	163.838	0.0131516	3.17297		2.80E-14	1.72E-09	0.00166364	5.31E-07	0.00441564	109.563	3.56232	109.563													
13.8489	1.46E-11	0.000335288	186.015	0.0140332	2.31334		7.16E-14	3.00E-09	0.00232903	1.06E-06	0.00584553	116.927	3.87983	116.927													
14.5083	3.00E-11	0.000506349	211.195	0.0123285	1.38863		1.80E-13	5.20E-09	0.00323624	2.09E-06	0.0073415	124.785	4.00888	124.785													
15.1991	6.10E-11	0.000757615	239.783	0.0109923	0.845984		4.46E-13	8.91E-09	0.00446329	4.05E-06	0.00918342	133.172	4.12565	133.172													
15.9228	1.22E-10	0.00112309	272.241	0.00864261	0.45448		1.09E-12	1.51E-08	0.00610968	7.74E-06	0.0104861	142.123	3.87573	142.123													
16.681	2.42E-10	0.00164948	309.092	0.00747828	0.2687		2.60E-12	2.54E-08	0.00830102	1.46E-05	0.0117555	151.675	3.57461	151.675													
17.4753	4.73E-10	0.0024002	350.932	0.00602816	0.147995		6.12E-12	4.22E-08	0.0111942	2.70E-05	0.0128066	161.869	3.20383	161.869													
18.3074	9.13E-10	0.0034603	398.435	0.00538107	0.0902663		1.42E-11	6.95E-08	0.0149831	4.92E-05	0.0140135	172.748	2.88427	172.748													
19.1791	1.74E-09	0.00494252	452.368	0.00558603	0.064026		3.23E-11	1.13E-07	0.019905	8.84E-05	0.0139726	184.359	2.366	184.359													
20.0923	3.27E-09	0.00699439	513.602	0.00348459	0.0272898		7.22E-11	1.83E-07	0.0262464	0.000156463	0.0131457	196.75	1.83134	196.75													
21.049	6.07E-09	0.0098066	583.125	0.00470755	0.0251906		1.59E-10	2.92E-07	0.03435	0.000272741	0.0124575	209.973	1.42779	209.973													
22.0513	1.11E-08	0.0136224	662.059	0.00344484	0.0125953		3.44E-10	4.62E-07	0.0446203	0.000468263	0.0126653	224.086	1.19427	224.086													
23.1013	2.01E-08	0.0187481	751.677	0.00336111	0.00839687		7.34E-10	7.23E-07	0.057529	0.000791832	0.0105623	239.147	0.819395	239.147													
24.2013	3.59E-08	0.0255638	853.427	0.0153722	0.0262402		1.54E-09	1.12E-06	0.0736191	0.0013188	0.0393174	255.22	2.5094	255.22													
25.3536	6.34E-08	0.0345353					3.17E-09	1.72E-06	0.0935068	0.00216334																	
26.5609	1.10E-07	0.0462239					6.41E-09	2.61E-06	0.117881	0.00349523																	
27.8256	1.90E-07	0.0612968					1.28E-08	3.93E-06	0.147501	0.00556195																	
29.1505	3.22E-07	0.0805334					2.50E-08	5.85E-06	0.183187	0.0087173																	
30.5386	5.39E-07	0.104829					4.82E-08	8.63E-06	0.22581	0.0134567																	
31.9927	8.91E-07	0.135193					9.14E-08	1.26E-05	0.276274	0.0204597																	
33.516	1.46E-06	0.17274					1.70E-07	1.82E-05	0.335494	0.0306381																	
35.1119	2.35E-06	0.218675					3.12E-07	2.60E-05	0.404371	0.0451883																	
36.7838	3.73E-06	0.274267					5.63E-07	3.69E-05	0.483753	0.0656437																	
38.5353	5.87E-06	0.340811					9.98E-07	5.17E-05	0.574403	0.093921																	
40.3702	9.10E-06	0.419587					1.74E-06	7.18E-05	0.676952	0.132353																	
42.2924	1.39E-05	0.511795					2.98E-06	9.86E-05	0.79186	0.1837																	
44.3062	2.11E-05	0.618498					5.03E-06	0.000134181	0.919365	0.251123																	
46.4159	3.15E-05	0.740538					8.34E-06	0.00018073	1.05944	0.338116																	
48.626	4.63E-05	0.878464					1.36E-05	0.000240996	1.21175	0.448381																	
50.9414	6.74E-05	1.03245					2.18E-05	0.00031815	1.37562	0.585641																	
53.367	9.68E-05	1.2022					3.44E-05	0.000415812	1.55001	0.753388																	
55.9081	0.000137316	1.38693					5.33E-05	0.000538026	1.73348	0.95457																	
58.5702	0.000192226	1.58526					8.13E-05	0.000689209	1.9242	1.19124																	
61.3591	0.000265664	1.79519					0.000122034	0.000874059	2.11998	1.46418																	
64.2807	0.00036248	2.01414					0.000180038	0.00109742	2.31827	1.77252																	
67.3415	0.000488274	2.23891					0.000261215	0.0013641	2.51619	2.11344																	
70.548	0.000649339	2.46575					0.000372719	0.00167865	2.71064	2.48194																	
73.9072	0.00085253	2.69048					0.00052302	0.00204511	2.89833	2.87075																	
77.4264	0.00110504	2.90855					0.000721781	0.0024667	3.07592	3.2704																	
