time centers	number conc comb	mass conc BBHG	mass conc comb
5-1-2015 00:00:30	0.83317	0.00249308	0.00249308
5-1-2015 00:01:30	0.916766	0.00111882	0.00111882
5-1-2015 00:02:30	0.996404	0.00318479	0.00318479
5-1-2015 00:03:30	1.08685	0.00225738	0.00225738
5-1-2015 00:04:30	1.08306	0.00637919	0.0104362
5-1-2015 00:05:30	1.24934	0.00387143	0.00387143
5-1-2015 00:06:30	0.750535	0.00153882	0.00153882
5-1-2015 00:07:30	0.499984	0.000638237	0.000638237
5-1-2015 00:08:30	0.499844	0.00108551	0.00108551
5-1-2015 00:09:30	0.916599	0.00243159	0.00243159
5-1-2015 00:10:30	0.999437	0.00162664	0.00162664
5-1-2015 00:11:30	0.667296	0.00114999	0.00114999
5-1-2015 00:12:30	0.580799	0.00376935	0.0057085
5-1-2015 00:13:30	1.42175	0.00647853	0.00834489
5-1-2015 00:14:30	0.833875	0.00357047	0.00357047
5-1-2015 00:15:30	1.41158	0.0068539	0.0138435
5-1-2015 00:16:30	1.1701	0.00367497	0.00367497
5-1-2015 00:17:30	0.750443	0.0031302	0.00831159
5-1-2015 00:18:30	1.16675	0.00447758	0.00573729
5-1-2015 00:19:30	0.916545	0.00456444	0.00456444
5-1-2015 00:20:30	0.666016	0.00141097	0.00141097
5-1-2015 00:21:30	1.08411	0.00405609	0.00405609
5-1-2015 00:22:30	1.16652	0.00262012	0.00262012
5-1-2015 00:23:30	0.667098	0.00311652	0.0130843
5-1-2015 00:24:30	1.08279	0.0059609	0.00869225
5-1-2015 00:25:30	0.999825	0.00314306	0.0092377
5-1-2015 00:26:30	1.41607	0.00344676	0.00344676
5-1-2015 00:27:30	1.33395	0.00339289	0.00339289
5-1-2015 00:28:30	0.749798	0.00308554	0.00367678
5-1-2015 00:29:30	1.08289	0.00477219	0.0190729
5-1-2015 00:30:30	1.58425	0.00484851	0.00484851
5-1-2015 00:31:30	1.41621	0.00394843	0.00394843
5-1-2015 00:32:30	0.83364	0.00176219	0.00176219
5-1-2015 00:33:30	1.33265	0.00568039	0.00568039
5-1-2015 00:34:30	0.833948	0.00133698	0.00133698
5-1-2015 00:35:30	1.08329	0.00335973	0.010116
5-1-2015 00:36:30	1.3332	0.0078395	0.013172
5-1-2015 00:37:30	0.916862	0.00212037	0.00212037
5-1-2015 00:38:30	1.16573	0.0071737	0.00836366
5-1-2015 00:39:30	1.08327	0.0027335	0.0027335
5-1-2015 00:40:30	0.913674	0.00407456	0.00517956
5-1-2015 00:41:30	0.418092	0.00209602	0.00240709
5-1-2015 00:42:30	0.333331	0.000849141	0.000849141
5-1-2015 00:43:30	0.74736	0.00197643	0.00197643
5-1-2015 00:44:30	0.752271	0.00419546	0.00801847
5-1-2015 00:45:30	1.00052	0.00265219	0.00265219
5-1-2015 00:46:30	1.0829	0.0061023	0.0128924
5-1-2015 00:47:30	0.666649	0.0010114	0.0010114
5-1-2015 00:48:30	0.99672	0.00326367	0.00326367
5-1-2015 00:49:30	0.668865	0.0024687	0.0024687
5-1-2015 00:50:30	1.08306	0.00364485	0.00364485
5-1-2015 00:51:30	1.41696	0.00255555	0.00255555
5-1-2015 00:52:30	1.08247	0.00400115	0.00498432
5-1-2015 00:53:30	1.00023	0.00400834	0.00400834
5-1-2015 00:54:30	1.41687	0.00853371	0.010497
5-1-2015 00:55:30	1.33341	0.0035332	0.0035332
5-1-2015 00:56:30	1.1669	0.00399018	0.00627103
5-1-2015 00:57:30	1.16601	0.00347395	0.00347395
5-1-2015 00:58:30	0.833909	0.00403886	0.00434554
5-1-2015 00:59:30	1.08223	0.00374636	0.00374636
5-1-2015 01:00:30	1.50044	0.00388664	0.00388664
5-1-2015 01:01:30	1.74363	0.00683608	0.00741637
5-1-2015 01:02:30	1.171	0.0044979	0.0482297
5-1-2015 01:03:30	1.49948	0.00609332	0.00609332
5-1-2015 01:04:30	1.0828	0.00789334	0.00802979
5-1-2015 01:05:30	1.66814	0.00543817	0.00733251
5-1-2015 01:06:30	1.58331	0.00457449	0.00457449
5-1-2015 01:07:30	0.916329	0.00380936	0.00751682
5-1-2015 01:08:30	0.916317	0.00321673	0.00321673
5-1-2015 01:09:30	1.08389	0.00489529	0.00964147
5-1-2015 01:10:30	0.833419	0.00413547	0.00632411
5-1-2015 01:11:30	1.58332	0.00653699	0.00653699
5-1-2015 01:12:30	1.33316	0.00646589	0.00736399
5-1-2015 01:13:30	1.58213	0.00925557	0.0144535
5-1-2015 01:14:30	1.00082	0.00583137	0.00745009
5-1-2015 01:15:30	0.747681	0.00265636	0.00265636
5-1-2015 01:16:30	1.33689	0.00349456	0.00349456
5-1-2015 01:17:30	1.91141	0.0061199	0.00667854
5-1-2015 01:18:30	1.42015	0.00607122	0.00607122
5-1-2015 01:19:30	1.08432	0.00366209	0.00366209
5-1-2015 01:20:30	1.58239	0.00618548	0.00833086
5-1-2015 01:21:30	1.08347	0.00311756	0.00311756
5-1-2015 01:22:30	1.16601	0.00425134	0.00425134
5-1-2015 01:23:30	1.16618	0.00622147	0.00881741
5-1-2015 01:24:30	1.33503	0.00299473	0.00299473
5-1-2015 01:25:30	1.50003	0.00367605	0.00367605
5-1-2015 01:26:30	1.16532	0.00512337	0.00801709
5-1-2015 01:27:30	1.58419	0.0049421	0.0049421
5-1-2015 01:28:30	1.41668	0.00509835	0.00532412
5-1-2015 01:29:30	2.08276	0.004857	0.00565873
5-1-2015 01:30:30	1.58242	0.00584688	0.00584688
5-1-2015 01:31:30	1.41675	0.00243741	0.00243741
5-1-2015 01:32:30	1.50016	0.00665973	0.00962051
5-1-2015 01:33:30	1.41743	0.00513526	0.00513526
5-1-2015 01:34:30	1.49993	0.00515495	0.00533421
5-1-2015 01:35:30	1.08305	0.00299898	0.00299898
5-1-2015 01:36:30	1.58327	0.00553534	0.00553534
5-1-2015 01:37:30	1.41738	0.00388755	0.00748711
5-1-2015 01:38:30	1.5826	0.00580502	0.00580502
5-1-2015 01:39:30	1.24956	0.00303469	0.00439325
5-1-2015 01:40:30	1.4161	0.0029551	0.0029551
5-1-2015 01:41:30	1.33377	0.00440312	0.00440312
5-1-2015 01:42:30	1.08362	0.00491407	0.00491407
5-1-2015 01:43:30	1.24945	0.00257615	0.00257615
5-1-2015 01:44:30	1.41707	0.00384674	0.00675386
5-1-2015 01:45:30	1.08311	0.00269817	0.00269817
5-1-2015 01:46:30	1.41695	0.00399329	0.00399329
5-1-2015 01:47:30	1.08422	0.00543725	0.00914863
5-1-2015 01:48:30	1.49864	0.00467656	0.00467656
5-1-2015 01:49:30	0.999451	0.00464191	0.00509307
5-1-2015 01:50:30	0.58265	0.00155316	0.00155316
5-1-2015 01:51:30	1.33524	0.00373085	0.00373085
5-1-2015 01:52:30	1.33347	0.0030286	0.0030286
5-1-2015 01:53:30	0.750205	0.0013852	0.0013852
5-1-2015 01:54:30	1.66673	0.0034211	0.0034211
5-1-2015 01:55:30	1.33287	0.00527675	0.00527675
5-1-2015 01:56:30	1.57812	0.00609887	0.00817825
5-1-2015 01:57:30	1.50495	0.00597618	0.00597618
5-1-2015 01:58:30	0.749869	0.00409379	0.00638461
5-1-2015 01:59:30	1.66629	0.00378659	0.00378659
5-1-2015 02:00:30	0.668911	0.0010536	0.0010536
5-1-2015 02:01:30	0.996728	0.00351089	0.00351089
5-1-2015 02:02:30	2.00003	0.00690557	0.00762648
5-1-2015 02:03:30	1.08736	0.00441873	0.00446873
5-1-2015 02:04:30	1.50067	0.00628697	0.00628697
5-1-2015 02:05:30	0.915531	0.00439477	0.0056774
5-1-2015 02:06:30	1.00015	0.00394839	0.00452293
5-1-2015 02:07:30	1.16704	0.0047946	0.00659329
5-1-2015 02:08:30	1.41561	0.00410653	0.00704346
5-1-2015 02:09:30	1.08325	0.00420236	0.0520984
5-1-2015 02:10:30	1.33365	0.00364865	0.00364865
5-1-2015 02:11:30	1.75029	0.00605537	0.00643519
5-1-2015 02:12:30	1.7496	0.0048899	0.0048899
5-1-2015 02:13:30	1.08367	0.00439292	0.00439292
5-1-2015 02:14:30	1.41674	0.00428843	0.00428843
5-1-2015 02:15:30	1.33204	0.00423221	0.00721757
5-1-2015 02:16:30	1.50244	0.00572027	0.00919012
5-1-2015 02:17:30	1.58219	0.00603038	0.00661599
5-1-2015 02:18:30	1.41777	0.00400141	0.00400141
5-1-2015 02:19:30	0.91684	0.00434043	0.00511486
5-1-2015 02:20:30	1.58182	0.0038154	0.0038154
5-1-2015 02:21:30	1.4169	0.00601147	0.00710548
5-1-2015 02:22:30	1.58194	0.00319696	0.00319696
5-1-2015 02:23:30	1.24667	0.00360254	0.00360254
5-1-2015 02:24:30	1.42117	0.00566075	0.00566075
5-1-2015 02:25:30	1.08377	0.005215	0.00762156
5-1-2015 02:26:30	2.16702	0.0100104	0.0105974
5-1-2015 02:27:30	1.91652	0.00600902	0.00635568
5-1-2015 02:28:30	1.16284	0.0050788	0.00516202
5-1-2015 02:29:30	1.75664	0.00497659	0.00497659
5-1-2015 02:30:30	0.998873	0.00372296	0.00372296
5-1-2015 02:31:30	1.58488	0.0062779	0.0062779
5-1-2015 02:32:30	0.916442	0.00349087	0.00373876
5-1-2015 02:33:30	1.41616	0.00407153	0.00407153
5-1-2015 02:34:30	1.6676	0.00627544	0.0640874
5-1-2015 02:35:30	1.24972	0.00248965	0.00248965
5-1-2015 02:36:30	0.916563	0.00634066	0.00634066
5-1-2015 02:37:30	1.74938	0.00526868	0.00583529
5-1-2015 02:38:30	1.16999	0.00250355	0.00250355
5-1-2015 02:39:30	2.16748	0.00970936	0.0109297
5-1-2015 02:40:30	1.66667	0.00456089	0.00456089
5-1-2015 02:41:30	1.08324	0.00420315	0.00420315
5-1-2015 02:42:30	1.33316	0.00544759	0.0054898
5-1-2015 02:43:30	1.41723	0.0033461	0.0033461
5-1-2015 02:44:30	1.91516	0.00824796	0.00857641
5-1-2015 02:45:30	1.33185	0.0063082	0.0134266
5-1-2015 02:46:30	1.16788	0.00243805	0.00243805
5-1-2015 02:47:30	0.916993	0.00301878	0.00301878
5-1-2015 02:48:30	1.33223	0.00364598	0.00364598
5-1-2015 02:49:30	1.16727	0.00586286	0.00672728
5-1-2015 02:50:30	1.50081	0.00536185	0.00653175
5-1-2015 02:51:30	1.58274	0.00559876	0.00559876
5-1-2015 02:52:30	1.4163	0.00619251	0.0100925
5-1-2015 02:53:30	1.08377	0.00356774	0.0036852
5-1-2015 02:54:30	1.75034	0.00547049	0.00648164
5-1-2015 02:55:30	2.0824	0.00634239	0.00962893
5-1-2015 02:56:30	1.49658	0.00355086	0.00355086
5-1-2015 02:57:30	1.00236	0.00126913	0.00126913
5-1-2015 02:58:30	1.66633	0.0077427	0.030463
5-1-2015 02:59:30	1.33311	0.00640241	0.00772034
5-1-2015 03:00:30	1.16666	0.00175183	0.00175183
5-1-2015 03:01:30	0.749963	0.0026235	0.00687696
5-1-2015 03:02:30	1.2497	0.00362628	0.00362628
5-1-2015 03:03:30	1.50078	0.00407785	0.00407785
5-1-2015 03:04:30	1.08275	0.00245968	0.00245968
5-1-2015 03:05:30	1.4174	0.00369899	0.00369899
5-1-2015 03:06:30	1.49976	0.00527386	0.00551492
5-1-2015 03:07:30	0.999561	0.00480983	0.00480983
5-1-2015 03:08:30	1.08384	0.00308962	0.00308962
5-1-2015 03:09:30	1.66613	0.00552672	0.00552672
5-1-2015 03:10:30	1.16692	0.00497947	0.00770142
5-1-2015 03:11:30	1.57748	0.00640446	0.00764917
5-1-2015 03:12:30	1.84073	0.00457643	0.00457643
5-1-2015 03:13:30	1.66498	0.00536297	0.00536297
5-1-2015 03:14:30	1.1673	0.00594587	0.00721064
5-1-2015 03:15:30	1.83354	0.0071344	0.0071344
5-1-2015 03:16:30	1.24942	0.00629856	0.00637834
5-1-2015 03:17:30	2.33479	0.0112542	0.0120652
5-1-2015 03:18:30	2.41603	0.00666051	0.00834797
5-1-2015 03:19:30	1.50042	0.00584733	0.0240853
5-1-2015 03:20:30	1.41601	0.00721254	0.0084232
5-1-2015 03:21:30	2.00146	0.00874185	0.00968056
5-1-2015 03:22:30	1.16585	0.0044519	0.00499678
5-1-2015 03:23:30	1.41729	0.004478	0.004478
5-1-2015 03:24:30	1.91656	0.0060523	0.00658186
5-1-2015 03:25:30	1.33331	0.00483593	0.0060268
5-1-2015 03:26:30	2.08353	0.00647579	0.00647579
5-1-2015 03:27:30	1.41556	0.00317274	0.00317274
5-1-2015 03:28:30	1.58169	0.00505044	0.00505044
5-1-2015 03:29:30	1.66852	0.0036985	0.0036985
5-1-2015 03:30:30	1.33335	0.00415249	0.00467118
5-1-2015 03:31:30	1.24977	0.00518606	0.011883
5-1-2015 03:32:30	1.41644	0.00484882	0.00484882
5-1-2015 03:33:30	1.25046	0.00479913	0.0629821
5-1-2015 03:34:30	1.41701	0.00419397	0.00419397
5-1-2015 03:35:30	1.33385	0.00838199	0.0106184
5-1-2015 03:36:30	1.74898	0.00716713	0.0142546
5-1-2015 03:37:30	1.58382	0.00338821	0.00338821
5-1-2015 03:38:30	1.16657	0.0029491	0.0029491
5-1-2015 03:39:30	2.08144	0.00730719	0.00730719
5-1-2015 03:40:30	1.25126	0.00566236	0.00699124
