time centers	number conc comb	mass conc comb	number conc BBHG	mass conc BBHG	number conc BBLG	mass conc BBLG	"this is for 20150501 sp258 using calib ID 16,17 (quadratic fits) with AD corr added, file x001-x011"																						
5-1-2015 00:00:30	0.83317	0.00249308	0.83317	0.00249308	0.666536	0.0024733																							
5-1-2015 00:01:30	0.916766	0.00111882	0.916766	0.00111882	0.833424	0.00129019																							
5-1-2015 00:02:30	0.996404	0.00318479	0.996404	0.00318479	0.91337	0.0032437																							
5-1-2015 00:03:30	1.08685	0.00225738	1.08685	0.00225738	0.919641	0.00226819																							
5-1-2015 00:04:30	1.08306	0.0104362	1.08306	0.00637919	1.08306	0.010428																							
5-1-2015 00:05:30	1.24934	0.00387143	1.24934	0.00387143	0.916185	0.00380958																							
5-1-2015 00:06:30	0.750535	0.00153882	0.750535	0.00153882	0.500357	0.00146271																							
5-1-2015 00:07:30	0.499984	0.000638237	0.499984	0.000638237	0.416653	0.000698846																							
5-1-2015 00:08:30	0.499844	0.00108551	0.499844	0.00108551	0.416537	0.00108193																							
5-1-2015 00:09:30	0.916599	0.00243159	0.916599	0.00243159	0.749944	0.00239022																							
5-1-2015 00:10:30	0.999437	0.00162664	0.999437	0.00162664	0.916151	0.00176681																							
5-1-2015 00:11:30	0.667296	0.00114999	0.667296	0.00114999	0.667296	0.00127237																							
5-1-2015 00:12:30	0.580799	0.0057085	0.580799	0.00376935	0.580799	0.00576548																							
5-1-2015 00:13:30	1.42175	0.00834489	1.42175	0.00647853	1.17086	0.00826853																							
5-1-2015 00:14:30	0.833875	0.00357047	0.833875	0.00357047	0.833875	0.00353255																							
5-1-2015 00:15:30	1.41158	0.0138435	1.41158	0.0068539	1.24551	0.0137187																							
5-1-2015 00:16:30	1.1701	0.00367497	1.1701	0.00367497	1.00294	0.00361046																							
5-1-2015 00:17:30	0.750443	0.00831159	0.750443	0.0031302	0.583678	0.00829055																							
5-1-2015 00:18:30	1.16675	0.00573729	1.16675	0.00447758	0.91673	0.0057364																							
5-1-2015 00:19:30	0.916545	0.00456444	0.916545	0.00456444	0.916545	0.00448503																							
5-1-2015 00:20:30	0.666016	0.00141097	0.666016	0.00141097	0.666016	0.0014822																							
5-1-2015 00:21:30	1.08411	0.00405609	1.08411	0.00405609	1.00071	0.00407952																							
5-1-2015 00:22:30	1.16652	0.00262012	1.16652	0.00262012	0.999873	0.00265231																							
5-1-2015 00:23:30	0.667098	0.0130843	0.667098	0.00311652	0.667098	0.0130915																							
5-1-2015 00:24:30	1.08279	0.00869225	1.08279	0.0059609	0.832917	0.00861404																							
5-1-2015 00:25:30	0.999825	0.0092377	0.999825	0.00314306	0.916506	0.00931646																							
5-1-2015 00:26:30	1.41607	0.00344676	1.41607	0.00344676	1.16617	0.00349043																							
5-1-2015 00:27:30	1.33395	0.00339289	1.33395	0.00339289	1.25058	0.00343916																							
5-1-2015 00:28:30	0.749798	0.00367678	0.749798	0.00308554	0.666487	0.00366657																							
5-1-2015 00:29:30	1.08289	0.0190729	1.08289	0.00477219	0.999589	0.0191225																							
5-1-2015 00:30:30	1.58425	0.00484851	1.58425	0.00484851	1.41749	0.00476269																							
5-1-2015 00:31:30	1.41621	0.00394843	1.41621	0.00394843	1.33291	0.0039674																							
5-1-2015 00:32:30	0.83364	0.00176219	0.83364	0.00176219	0.750276	0.00183693																							
5-1-2015 00:33:30	1.33265	0.00568039	1.33265	0.00568039	1.24936	0.00557576																							
5-1-2015 00:34:30	0.833948	0.00133698	0.833948	0.00133698	0.750553	0.00144684																							
5-1-2015 00:35:30	1.08329	0.010116	1.08329	0.00335973	0.916628	0.01015																							
5-1-2015 00:36:30	1.3332	0.013172	1.3332	0.0078395	1.3332	0.0131808																							
5-1-2015 00:37:30	0.916862	0.00212037	0.916862	0.00212037	0.75016	0.00210101																							
5-1-2015 00:38:30	1.16573	0.00836366	1.16573	0.0071737	1.16573	0.00828898																							
5-1-2015 00:39:30	1.08327	0.0027335	1.08327	0.0027335	1.08327	0.00280154																							
5-1-2015 00:40:30	0.913674	0.00517956	0.913674	0.00407456	0.747551	0.00514008																							
5-1-2015 00:41:30	0.418092	0.00240709	0.418092	0.00209602	0.418092	0.00244589																							
5-1-2015 00:42:30	0.333331	0.000849141	0.333331	0.000849141	0.249999	0.000803375																							
5-1-2015 00:43:30	0.74736	0.00197643	0.74736	0.00197643	0.74736	0.00200179																							
5-1-2015 00:44:30	0.752271	0.00801847	0.752271	0.00419546	0.668685	0.0080209																							
5-1-2015 00:45:30	1.00052	0.00265219	1.00052	0.00265219	1.00052	0.00274917																							
5-1-2015 00:46:30	1.0829	0.0128924	1.0829	0.0061023	0.999597	0.0128474																							
5-1-2015 00:47:30	0.666649	0.0010114	0.666649	0.0010114	0.583318	0.00108614																							
5-1-2015 00:48:30	0.99672	0.00326367	0.99672	0.00326367	0.91366	0.00321808																							
5-1-2015 00:49:30	0.668865	0.0024687	0.668865	0.0024687	0.585257	0.0023852																							
5-1-2015 00:50:30	1.08306	0.00364485	1.08306	0.00364485	0.999744	0.00354989																							
5-1-2015 00:51:30	1.41696	0.00255555	1.41696	0.00255555	1.25026	0.00267158																							
5-1-2015 00:52:30	1.08247	0.00498432	1.08247	0.00400115	0.999202	0.00501329																							
5-1-2015 00:53:30	1.00023	0.00400834	1.00023	0.00400834	1.00023	0.0039784																							
5-1-2015 00:54:30	1.41687	0.010497	1.41687	0.00853371	1.33352	0.010444																							
5-1-2015 00:55:30	1.33341	0.0035332	1.33341	0.0035332	1.25007	0.00358493																							
5-1-2015 00:56:30	1.1669	0.00627103	1.1669	0.00399018	1.0002	0.00630353																							
5-1-2015 00:57:30	1.16601	0.00347395	1.16601	0.00347395	1.16601	0.0035574																							
5-1-2015 00:58:30	0.833909	0.00434554	0.833909	0.00403886	0.750518	0.00429966																							
5-1-2015 00:59:30	1.08223	0.00374636	1.08223	0.00374636	0.998978	0.00367993																							
5-1-2015 01:00:30	1.50044	0.00388664	1.50044	0.00388664	1.33372	0.00396176																							
5-1-2015 01:01:30	1.74363	0.00741637	1.74363	0.00683608	1.6606	0.00739538																							
5-1-2015 01:02:30	1.171	0.0482297	1.171	0.0044979	1.171	0.048435																							
5-1-2015 01:03:30	1.49948	0.00609332	1.49948	0.00609332	1.41617	0.00596396																							
5-1-2015 01:04:30	1.0828	0.00802979	1.0828	0.00789334	1.0828	0.0079867																							
5-1-2015 01:05:30	1.66814	0.00733251	1.66814	0.00543817	1.58473	0.0073668																							
5-1-2015 01:06:30	1.58331	0.00457449	1.58331	0.00457449	1.41664	0.00450524																							
5-1-2015 01:07:30	0.916329	0.00751682	0.916329	0.00380936	0.833026	0.0075173																							
5-1-2015 01:08:30	0.916317	0.00321673	0.916317	0.00321673	0.833015	0.00323906																							
5-1-2015 01:09:30	1.08389	0.00964147	1.08389	0.00489529	0.833765	0.00967018																							
5-1-2015 01:10:30	0.833419	0.00632411	0.833419	0.00413547	0.833419	0.00628063																							
5-1-2015 01:11:30	1.58332	0.00653699	1.58332	0.00653699	1.58332	0.00637443																							
5-1-2015 01:12:30	1.33316	0.00736399	1.33316	0.00646589	1.24984	0.00726191																							
5-1-2015 01:13:30	1.58213	0.0144535	1.58213	0.00925557	1.41559	0.0144037																							
5-1-2015 01:14:30	1.00082	0.00745009	1.00082	0.00583137	0.917415	0.00748134																							
5-1-2015 01:15:30	0.747681	0.00265636	0.747681	0.00265636	0.58153	0.00258934																							
5-1-2015 01:16:30	1.33689	0.00349456	1.33689	0.00349456	1.25334	0.00355985																							
5-1-2015 01:17:30	1.91141	0.00667854	1.91141	0.0061199	1.66209	0.00679797																							
5-1-2015 01:18:30	1.42015	0.00607122	1.42015	0.00607122	1.42015	0.00602823																							
5-1-2015 01:19:30	1.08432	0.00366209	1.08432	0.00366209	1.08432	0.00366295																							
5-1-2015 01:20:30	1.58239	0.00833086	1.58239	0.00618548	1.41582	0.00834438																							
5-1-2015 01:21:30	1.08347	0.00311756	1.08347	0.00311756	0.833439	0.00305773																							
5-1-2015 01:22:30	1.16601	0.00425134	1.16601	0.00425134	1.08273	0.00417919																							
5-1-2015 01:23:30	1.16618	0.00881741	1.16618	0.00622147	1.16618	0.00881606																							
5-1-2015 01:24:30	1.33503	0.00299473	1.33503	0.00299473	1.00127	0.00292208																							
5-1-2015 01:25:30	1.50003	0.00367605	1.50003	0.00367605	1.33336	0.00366535																							
5-1-2015 01:26:30	1.16532	0.00801709	1.16532	0.00512337	1.08208	0.00810068																							
5-1-2015 01:27:30	1.58419	0.0049421	1.58419	0.0049421	1.41744	0.00492134																							
5-1-2015 01:28:30	1.41668	0.00532412	1.41668	0.00509835	1.33335	0.00531562																							
5-1-2015 01:29:30	2.08276	0.00565873	2.08276	0.004857	1.66621	0.00575892																							
5-1-2015 01:30:30	1.58242	0.00584688	1.58242	0.00584688	1.49913	0.00577671																							
5-1-2015 01:31:30	1.41675	0.00243741	1.41675	0.00243741	1.16673	0.00249232																							
5-1-2015 01:32:30	1.50016	0.00962051	1.50016	0.00665973	1.25013	0.00952015																							
5-1-2015 01:33:30	1.41743	0.00513526	1.41743	0.00513526	1.41743	0.00507465																							
5-1-2015 01:34:30	1.49993	0.00533421	1.49993	0.00515495	1.24994	0.00524665																							
5-1-2015 01:35:30	1.08305	0.00299898	1.08305	0.00299898	0.833112	0.00297711																							
5-1-2015 01:36:30	1.58327	0.00553534	1.58327	0.00553534	1.58327	0.00550829																							
5-1-2015 01:37:30	1.41738	0.00748711	1.41738	0.00388755	1.33401	0.00763227																							
5-1-2015 01:38:30	1.5826	0.00580502	1.5826	0.00580502	1.5826	0.00582974																							
5-1-2015 01:39:30	1.24956	0.00439325	1.24956	0.00303469	0.99965	0.0044759																							
5-1-2015 01:40:30	1.4161	0.0029551	1.4161	0.0029551	1.0829	0.00287732																							
5-1-2015 01:41:30	1.33377	0.00440312	1.33377	0.00440312	1.16705	0.00436575																							
5-1-2015 01:42:30	1.08362	0.00491407	1.08362	0.00491407	1.00026	0.00475766																							
5-1-2015 01:43:30	1.24945	0.00257615	1.24945	0.00257615	0.99956	0.00255939																							
5-1-2015 01:44:30	1.41707	0.00675386	1.41707	0.00384674	1.25036	0.00684516																							
5-1-2015 01:45:30	1.08311	0.00269817	1.08311	0.00269817	0.91648	0.00263615																							
5-1-2015 01:46:30	1.41695	0.00399329	1.41695	0.00399329	1.41695	0.00407536																							
5-1-2015 01:47:30	1.08422	0.00914863	1.08422	0.00543725	0.917415	0.00908964																							
5-1-2015 01:48:30	1.49864	0.00467656	1.49864	0.00467656	1.41538	0.00471242																							
