time centers	number conc BBHG	mass conc BBHG	"this is for 20130601 using calib ID 2, AD corr added, file x001-x010"
6-1-2013 00:00:30	4.83198	0.00617379	
6-1-2013 00:01:30	3.8337	0.00510568	
6-1-2013 00:02:30	5.16628	0.00881919	
6-1-2013 00:03:30	5.66699	0.0149798	
6-1-2013 00:04:30	5.24919	0.00982526	
6-1-2013 00:05:30	4.58393	0.00804469	
6-1-2013 00:06:30	4.33314	0.00806603	
6-1-2013 00:07:30	8.16749	0.013362	
6-1-2013 00:08:30	9.24984	0.0147632	
6-1-2013 00:09:30	9.58206	0.0164547	
6-1-2013 00:10:30	9.41713	0.0166092	
6-1-2013 00:11:30	7.50076	0.0170112	
6-1-2013 00:12:30	7.08207	0.0141313	
6-1-2013 00:13:30	8.4874	0.0154534	
6-1-2013 00:14:30	6.5012	0.0133209	
6-1-2013 00:15:30	14.2445	0.0304726	
6-1-2013 00:16:30	7.34683	0.0103082	
6-1-2013 00:17:30	9.40362	0.0216373	
6-1-2013 00:18:30	13.186	0.0225336	
6-1-2013 00:19:30	10.2478	0.0226747	
6-1-2013 00:20:30	8.33623	0.0141842	
6-1-2013 00:21:30	9.41442	0.0199224	
6-1-2013 00:22:30	15.2521	0.0241277	
6-1-2013 00:23:30	26.4133	0.048214	
6-1-2013 00:24:30	29.6633	0.0580611	
6-1-2013 00:25:30	29.5879	0.0560755	
6-1-2013 00:26:30	20.7822	0.0343553	
6-1-2013 00:27:30	34.9438	0.0688798	
6-1-2013 00:28:30	56.0802	0.117467	
6-1-2013 00:29:30	46.9325	0.0943746	
6-1-2013 00:30:30	41.5698	0.0775187	
6-1-2013 00:31:30	42.9115	0.0845321	
6-1-2013 00:32:30	42.5046	0.0835096	
6-1-2013 00:33:30	32.4885	0.0624199	
6-1-2013 00:34:30	28.5501	0.0594018	
6-1-2013 00:35:30	31.7048	0.0633098	
6-1-2013 00:36:30	27.8759	0.049762	
6-1-2013 00:37:30	33.5611	0.0662653	
6-1-2013 00:38:30	36.9934	0.0852146	
6-1-2013 00:39:30	24.3879	0.0497691	
6-1-2013 00:40:30	14.5822	0.0262313	
6-1-2013 00:41:30	7.50151	0.0153194	
6-1-2013 00:42:30	5.0807	0.0132473	
6-1-2013 00:43:30	5.16773	0.00968767	
6-1-2013 00:44:30	5.58401	0.0119299	
6-1-2013 00:45:30	6.49932	0.0122674	
6-1-2013 00:46:30	6.50038	0.0150788	
