time centers	number conc BBHG	mass conc BBHG	"this is for 20140801 sp217 using calib ID 4 (linear fit) with AD corr added, file x001-x007"			
8-1-2014 00:00:05	16.47	0.0245919				
8-1-2014 00:00:15	18.4981	0.0373964				
8-1-2014 00:00:25	15.0288	0.0237696				
8-1-2014 00:00:35	15.9962	0.0283233				
8-1-2014 00:00:45	14.0004	0.0326967				
8-1-2014 00:00:55	16.5011	0.0319596				
8-1-2014 00:01:05	14.9974	0.0127649				
8-1-2014 00:01:15	16.4968	0.0153424				
8-1-2014 00:01:25	18.0116	0.0197226				
8-1-2014 00:01:35	16.9893	0.0212242				
8-1-2014 00:01:45	16.0091	0.0246495				
8-1-2014 00:01:55	16.5029	0.0221633				
8-1-2014 00:02:05	11.9965	0.0144058				
8-1-2014 00:02:15	9.99792	0.0168491				
8-1-2014 00:02:25	14.499	0.0265109				
8-1-2014 00:02:35	20.0149	0.027326				
8-1-2014 00:02:45	19.4848	0.0386726				
8-1-2014 00:02:55	15.9978	0.0291				
8-1-2014 00:03:05	16.009	0.0340362				
8-1-2014 00:03:15	15.9955	0.0238356				
8-1-2014 00:03:25	13.9956	0.0281113				
8-1-2014 00:03:35	13.5133	0.0137154				
8-1-2014 00:03:45	14.9929	0.0210526				
8-1-2014 00:03:55	14.9962	0.0274387				
8-1-2014 00:04:05	22.0012	0.0250631				
8-1-2014 00:04:15	12.8765	0.0186486				
8-1-2014 00:04:25	18.5047	0.02119				
8-1-2014 00:04:35	13.5001	0.015813				
8-1-2014 00:04:45	19.5071	0.0309792				
8-1-2014 00:04:55	13.4994	0.0185127				
8-1-2014 00:05:05	16.9963	0.0291357				
8-1-2014 00:05:15	19	0.0271801				
8-1-2014 00:05:25	13.0076	0.0201625				
8-1-2014 00:05:35	12.9892	0.0244381				
8-1-2014 00:05:45	16.51	0.0154797				
8-1-2014 00:05:55	17.9906	0.031473				
8-1-2014 00:06:05	15.0104	0.0365114				
8-1-2014 00:06:15	16.9749	0.0332925				
8-1-2014 00:06:25	16.0103	0.0302944				
8-1-2014 00:06:35	15.0025	0.0255975				
8-1-2014 00:06:45	15.5077	0.0203057				
8-1-2014 00:06:55	13.9885	0.0298533				
8-1-2014 00:07:05	19.0112	0.0334281				
8-1-2014 00:07:15	16.4917	0.0260118				
8-1-2014 00:07:25	22.0046	0.0238101				
8-1-2014 00:07:35	20.0097	0.0474397				
