binmids - fit	dM/dlogD (ug/m3) - fit comb	dN/dlogD (1/cm3) - fit comb	binmids - meas	dM/dlogD (ug/m3) - meas	dN/dlogD (1/cm3) - meas		dM/dlogD (ug/m3) - fit HG	dM/dlogD (ug/m3) - fit lG	dN/dlogD (1/cm3) - fit HG	dN/dlogD (1/cm3) - fit LG	dM/dlogD (ug/m3) - meas HG	dM/dlogD (ug/m3) - meas HG bins	dN/dlogD (1/cm3) - meas LG	dN/dlogD (1/cm3) - meas LG bins
10	3.36E-08	1.78E-33	68.4658	0.00907985	30.0184		2.19E-08	8.62E-09	1.84E-43	0.00541082	2.90372	66.6527	0.00148357	3.33826
10.4762	5.81E-08	5.99E-32	77.2161	0.0297898	68.6553		3.85E-08	1.45E-08	1.74E-41	0.00814791	68.4713	71.2428	0.000494523	4.39575
10.975	9.94E-08	1.86E-30	87.0847	0.0253859	40.7845		6.71E-08	2.43E-08	1.50E-39	0.012143	72.6155	76.149	0.00692332	5.78825
11.4976	1.68E-07	5.36E-29	98.2146	0.0226316	25.3464		1.15E-07	4.03E-08	1.16E-37	0.0179101	52.9147	81.393	0.0108795	7.62186
12.045	2.81E-07	1.42E-27	110.767	0.0207841	16.2267		1.96E-07	6.60E-08	8.07E-36	0.0261436	40.9667	86.9982	0.0153302	10.0363
12.6186	4.65E-07	3.49E-26	124.924	0.0181996	9.90507		3.30E-07	1.07E-07	5.08E-34	0.0377682	30.958	92.9894	0.0459906	13.2157
13.2194	7.59E-07	7.89E-25	140.889	0.0148431	5.63141		5.49E-07	1.72E-07	2.88E-32	0.0539988	24.1841	99.3931	0.120169	17.4021
13.8489	1.23E-06	1.65E-23	158.896	0.0120687	3.19192		9.01E-07	2.74E-07	1.47E-30	0.0764074	18.8528	106.238	0.335781	22.9148
14.5083	1.96E-06	3.18E-22	179.204	0.00959224	1.76852		1.46E-06	4.33E-07	6.78E-29	0.107	14.7046	113.554	4.75335	30.1738
15.1991	3.09E-06	5.68E-21	202.107	0.00735986	0.945923		2.35E-06	6.75E-07	2.82E-27	0.148294	10.9793	121.374	13.4337	39.7323
15.9228	4.83E-06	9.34E-20	227.937	0.00527888	0.472962		3.72E-06	1.04E-06	1.06E-25	0.203404	8.44548	129.732	19.4402	52.3188
16.681	7.45E-06	1.42E-18	257.069	0.00447471	0.279477		5.82E-06	1.60E-06	3.57E-24	0.276115	6.07514	138.667	20.6246	68.8925
17.4753	1.14E-05	1.99E-17	289.923	0.00369028	0.160671		9.01E-06	2.42E-06	1.09E-22	0.37095	4.32595	148.216	15.9612	90.7164
