time centers	number conc comb	mass conc comb	mass conc BBHG	number conc BBLG	mass conc BBLG		"this is for 20150529 sp244 using calib ID 10,11 (quad fits) with AD corr added, file x001-x012"																						
5/29/2015 00:00:30	1.74943	0.00174664	0.00174664	1.74943	0.00134778																								
5/29/2015 00:01:30	2.25048	0.00239774	0.00239774	2.25048	0.00188817																								
5/29/2015 00:02:30	1.57789	0.00212946	0.00212946	1.57789	0.00181657																								
5/29/2015 00:03:30	1.58867	0.00148141	0.00148141	1.58867	0.00111495																								
5/29/2015 00:04:30	1.57764	0.00873726	0.00249161	1.57764	0.00837896																								
5/29/2015 00:05:30	1.83972	0.0029419	0.00279066	1.83972	0.00253303																								
5/29/2015 00:06:30	1.33292	0.00157291	0.00157291	1.33292	0.00131039																								
5/29/2015 00:07:30	1.91703	0.00257083	0.00257083	1.91703	0.00218846																								
5/29/2015 00:08:30	1.58291	0.00235507	0.00195844	1.58291	0.00193776																								
5/29/2015 00:09:30	1.58356	0.00128295	0.00128295	1.58356	0.000903285																								
5/29/2015 00:10:30	1.49978	0.00192019	0.00192019	1.49978	0.00161602																								
5/29/2015 00:11:30	1.08002	0.00060596	0.00060596	1.08002																									
5/29/2015 00:12:30	1.6669	0.00125797	0.00125797	1.6669	0.000831424																								
5/29/2015 00:13:30	1.83912	0.00203018	0.00203018	1.83912	0.00162765																								
5/29/2015 00:14:30	1.49978	0.00125208	0.00125208	1.49978	0.000878701																								
5/29/2015 00:15:30	1.49988	0.00148199	0.00148199	1.49988																									
5/29/2015 00:16:30	1.58331	0.00162903	0.00162903	1.58331	0.00127137																								
5/29/2015 00:17:30	1.0832	0.00119239	0.00119239	1.0832	0.000943642																								
5/29/2015 00:18:30	1.25002	0.00116084	0.00116084	1.16668	0.000867224																								
5/29/2015 00:19:30	1.66107	0.00401722	0.00401722	1.66107	0.00383055																								
5/29/2015 00:20:30	1.49994	0.00242539	0.00242539	1.49994	0.00216621																								
5/29/2015 00:21:30	2.42487	0.00526613	0.00398719	2.42487	0.00470128																								
5/29/2015 00:22:30	1.6666	0.00101374	0.00101374	1.6666	5.68E-04																								
5/29/2015 00:23:30	1.1627	0.000878127	0.000878127	1.1627	0.000584746																								
5/29/2015 00:24:30	2.24974	0.00346688	0.0029831	2.24974	2.94E-03																								
5/29/2015 00:25:30	1.83916	0.00253434	0.00253434	1.83916																									
5/29/2015 00:26:30	0.833256	0.00101069	0.00101069	0.833256	0.000845585																								
5/29/2015 00:27:30	2.08356	0.00278033	0.00278033	2.08356	0.00238675																								
5/29/2015 00:28:30	1.33297	0.00206156	0.00206156	1.33297	0.00182103																								
5/29/2015 00:29:30	1.9997	0.00324662	0.00324662	1.9997	0.00288282																								
5/29/2015 00:30:30	1.58343	0.00806452	0.00498376	1.58343	0.00778696																								
5/29/2015 00:31:30	1.91014	0.001511	0.001511	1.91014	0.00103126																								
5/29/2015 00:32:30	1.92324	0.00209163	0.00209163	1.92324	0.00162672																								
