BBHG_distrmidpoints	BBHG_BCnumbdistr	BBHG_BCmassdistr
50.725	1.04112	0.000128067
51.2089	0.936648	0.000118545
51.6974	0.953492	0.000124164
52.1905	1.07816	0.000144454
52.6884	1.0849	0.000149556
53.191	1.14892	0.000162958
53.6984	1.11185	0.000162256
54.2106	1.19945	0.000180098
54.7277	1.12533	0.00017385
55.2498	1.16912	0.000185833
55.7768	1.09501	0.000179081
56.3089	1.1287	0.000189924
56.846	1.01077	0.000174994
57.3883	1.18262	0.000210662
57.9357	1.01078	0.000185253
58.4884	1.14218	0.000215384
59.0463	1.13206	0.000219644
59.6096	1.12533	0.000224646
60.1782	1.08153	0.00022214
60.7522	1.13207	0.000239237
61.3317	1.08827	0.000236626
61.9168	1.01751	0.000227634
62.5074	1.12533	0.000259027
63.1037	1.15901	0.000274489
63.7056	1.06805	0.000260252
64.3133	1.06805	0.000267772
64.9268	1.14218	0.00029463
65.5462	0.990558	0.000262902
66.1714	0.997297	0.000272337
66.8027	1.06469	0.00029914
67.4399	1.00403	0.000290247
68.0832	1.10174	0.000327696
68.7327	1.03099	0.000315512
69.3883	1.1725	0.000369183
70.0502	1.11185	0.000360201
70.7184	1.0074	0.000335791
71.393	1.07144	0.000367457
72.074	1.05458	0.000372122
72.7616	0.956863	0.000347398
73.4556	1.02426	0.000382609
74.1563	1.09501	0.000420856
74.8637	0.913062	0.000361065
75.5779	1.02761	0.000418104
76.2988	0.950132	0.000397748
77.0266	0.963596	0.000415039
77.7614	0.926547	0.000410611
78.5032	0.879369	0.000400963
79.252	0.919808	0.000431518
80.008	1.02088	0.000492774
80.7712	0.980449	0.000486929
81.5417	0.876001	0.000447626
82.3195	0.896224	0.000471191
83.1048	0.842309	0.000455639
83.8975	0.892852	0.000496933
84.6979	0.963605	0.000551807
85.5058	0.977077	0.000575687
86.3214	0.791776	0.000479987
87.1449	0.909689	0.0005674
87.9762	1.05121	0.000674615
88.8154	0.80188	0.000529474
89.6626	0.889482	0.000604286
90.5179	0.9636	0.000673552
91.3814	0.832204	0.000598513
92.253	0.882756	0.000653211
93.133	0.764817	0.000582291
94.0215	0.774929	0.000607035
94.9183	0.754707	0.000608275
95.8238	0.778296	0.000645411
96.7378	0.8221	0.000701431
97.6607	0.744596	0.000653659
98.5922	0.747973	0.000675594
99.5327	0.768191	0.000713901
100.482	0.737865	0.000705529
101.441	0.707529	0.000696069
102.408	0.707552	0.000716203
103.385	0.687334	0.000715837
104.371	0.670468	0.000718446
105.367	0.680581	0.000750352
106.372	0.613209	0.000695607
107.387	0.596366	0.000696044
108.411	0.633408	0.000760637
109.445	0.633412	0.000782618
110.489	0.596364	0.000758132
111.543	0.599736	0.000784444
112.607	0.650253	0.000875092
113.682	0.616564	0.000853728
114.766	0.56267	0.000801613
115.861	0.552564	0.000809957
116.966	0.559288	0.0008435
118.082	0.545824	0.000846977
119.208	0.532349	0.000849932
120.345	0.522227	0.000857861
121.493	0.468316	0.000791527
122.652	0.47507	0.000826142
123.822	0.552567	0.000988669
125.003	0.458208	0.000843525
126.196	0.488533	0.000925336
127.4	0.387472	0.000755119
128.615	0.448112	0.000898525
129.842	0.411042	0.000848007
131.08	0.373984	0.000793845
132.331	0.380727	0.000831507
133.593	0.357148	0.000802545
134.867	0.363873	0.000841281
136.154	0.29986	0.000713311
