time_centers	BBHG_tser_numbconc	BBHG_tser_massconc		date: 	20090701
7-1-2009 02:21:42	0.139537	0.000132608		files: 	20090626x042 to 20090626x048
7-1-2009 02:22:42				sample flow:	constant 120cc.min
7-1-2009 02:23:42				BBHG calibration:	"id=1, AD corr slope, y -0.01733 0.00924x"
7-1-2009 02:24:42				units: 	ug/m3
7-1-2009 02:25:42					
7-1-2009 02:26:42					
7-1-2009 02:27:42					
7-1-2009 02:28:42					
7-1-2009 02:29:42					
7-1-2009 02:30:42					
7-1-2009 02:31:42					
7-1-2009 02:32:42					
7-1-2009 02:33:42					
7-1-2009 02:34:42					
7-1-2009 02:35:42	2.63662	0.00283471			
7-1-2009 02:36:42	0.107073	7.52E-05			
7-1-2009 02:37:42					
7-1-2009 02:38:42					
7-1-2009 02:39:42					
7-1-2009 02:40:42					
7-1-2009 02:41:42					
7-1-2009 02:42:42					
7-1-2009 02:43:42					
7-1-2009 02:44:42					
7-1-2009 02:45:42					
7-1-2009 02:46:42					
7-1-2009 02:47:42					
7-1-2009 02:48:42					
7-1-2009 02:49:42					
7-1-2009 02:50:42	2.66291	0.00311671			
7-1-2009 02:51:42	0.115604	7.64E-05			
7-1-2009 02:52:42					
7-1-2009 02:53:42					
7-1-2009 02:54:42					
7-1-2009 02:55:42					
7-1-2009 02:56:42					
7-1-2009 02:57:42					
7-1-2009 02:58:42					
7-1-2009 02:59:42					
7-1-2009 03:00:42					
7-1-2009 03:01:42					
7-1-2009 03:02:42					
7-1-2009 03:03:42					
7-1-2009 03:04:42					
7-1-2009 03:05:42	2.64387	0.00266398			
7-1-2009 03:06:42	0.117852	9.47E-05			
7-1-2009 03:07:42					
7-1-2009 03:08:42					
7-1-2009 03:09:42					
7-1-2009 03:10:42					
7-1-2009 03:11:42					
7-1-2009 03:12:42					
7-1-2009 03:13:42					
7-1-2009 03:14:42					
7-1-2009 03:15:42					
7-1-2009 03:16:42					
7-1-2009 03:17:42					
7-1-2009 03:18:42					
7-1-2009 03:19:42					
7-1-2009 03:20:42	2.73563	0.00216183			
7-1-2009 03:21:42	0.113855	8.86E-05			
7-1-2009 03:22:42					
7-1-2009 03:23:42					
7-1-2009 03:24:42					
7-1-2009 03:25:42					
7-1-2009 03:26:42					
7-1-2009 03:27:42					
7-1-2009 03:28:42					
7-1-2009 03:29:42					
7-1-2009 03:30:42					
7-1-2009 03:31:42					
7-1-2009 03:32:42					
7-1-2009 03:33:42					
7-1-2009 03:34:42					
7-1-2009 03:35:42	2.98851	0.00322012			
7-1-2009 03:36:42	0.120686	0.000103887			
7-1-2009 03:37:42					
7-1-2009 03:38:42					
7-1-2009 03:39:42					
7-1-2009 03:40:42					
7-1-2009 03:41:42					
7-1-2009 03:42:42					
7-1-2009 03:43:42					
7-1-2009 03:44:42					
7-1-2009 03:45:42					
7-1-2009 03:46:42					
7-1-2009 03:47:42					
7-1-2009 03:48:42					
7-1-2009 03:49:42					
7-1-2009 03:50:42	2.57471	0.00241211			
7-1-2009 03:51:42	0.109285	9.45E-05			
7-1-2009 03:52:42					
7-1-2009 03:53:42					
7-1-2009 03:54:42					
7-1-2009 03:55:42					
7-1-2009 03:56:42					
7-1-2009 03:57:42					
7-1-2009 03:58:42					
7-1-2009 03:59:42					
7-1-2009 04:00:42					
7-1-2009 04:01:42					
7-1-2009 04:02:42					
7-1-2009 04:03:42					
7-1-2009 04:04:42					
7-1-2009 04:05:42	2.87536	0.00219291			
7-1-2009 04:06:42	0.118388	0.000101391			
7-1-2009 04:07:42					
7-1-2009 04:08:42					
7-1-2009 04:09:42					
7-1-2009 04:10:42					
7-1-2009 04:11:42					
7-1-2009 04:12:42					
7-1-2009 04:13:42					
7-1-2009 04:14:42					
7-1-2009 04:15:42					
7-1-2009 04:16:42					
7-1-2009 04:17:42					
7-1-2009 04:18:42					
7-1-2009 04:19:42					
7-1-2009 04:20:42	2.38946	0.00205504			
7-1-2009 04:21:42	0.116066	8.17E-05			
7-1-2009 04:22:42					
7-1-2009 04:23:42					
7-1-2009 04:24:42					
7-1-2009 04:25:42					
7-1-2009 04:26:42					
7-1-2009 04:27:42					
7-1-2009 04:28:42					
7-1-2009 04:29:42					
7-1-2009 04:30:42					
7-1-2009 04:31:42					
7-1-2009 04:32:42					
7-1-2009 04:33:42					
7-1-2009 04:34:42					
7-1-2009 04:35:42	2.60029	0.00189308			
7-1-2009 04:36:42	0.114359	9.95E-05			
7-1-2009 04:37:42					
7-1-2009 04:38:42					
7-1-2009 04:39:42					
7-1-2009 04:40:42					
