time_centers	BBHG_tser_numbconc	BBHG_tser_massconc		
6/15/2010 01:10:24	0.227517	0.000555151		
6/15/2010 01:11:24				
6/15/2010 01:12:24				
6/15/2010 01:13:24				
6/15/2010 01:14:24				
6/15/2010 01:15:24				
6/15/2010 01:16:24				
6/15/2010 01:17:24				
6/15/2010 01:18:24				
6/15/2010 01:19:24	3.61866	0.0109354		
6/15/2010 01:20:24	0.199341	0.000624208		
6/15/2010 01:21:24				
6/15/2010 01:22:24				
6/15/2010 01:23:24				
6/15/2010 01:24:24				
6/15/2010 01:25:24				
6/15/2010 01:26:24				
6/15/2010 01:27:24				
6/15/2010 01:28:24				
6/15/2010 01:29:24	4.91684	0.012808		
6/15/2010 01:30:24	0.261719	0.000604165		
6/15/2010 01:31:24				
6/15/2010 01:32:24				
6/15/2010 01:33:24				
6/15/2010 01:34:24				
6/15/2010 01:35:24				
6/15/2010 01:36:24				
6/15/2010 01:37:24				
6/15/2010 01:38:24				
6/15/2010 01:39:24	4.34286	0.00989626		
6/15/2010 01:40:24	0.209833	4.59E-04		
6/15/2010 01:41:24				
6/15/2010 01:42:24				
6/15/2010 01:43:24				
6/15/2010 01:44:24				
6/15/2010 01:45:24				
6/15/2010 01:46:24				
6/15/2010 01:47:24				
6/15/2010 01:48:24				
6/15/2010 01:49:24	3.74538	0.00943215		
6/15/2010 01:50:24	0.195711	0.000516855		
6/15/2010 01:51:24				
6/15/2010 01:52:24				
6/15/2010 01:53:24				
6/15/2010 01:54:24				
6/15/2010 01:55:24				
6/15/2010 01:56:24				
6/15/2010 01:57:24				
6/15/2010 01:58:24				
6/15/2010 01:59:24	3.9545	0.0105791		
6/15/2010 02:00:24	0.207906	0.000626812		
6/15/2010 02:01:24				
6/15/2010 02:02:24				
6/15/2010 02:03:24				
6/15/2010 02:04:24				
6/15/2010 02:05:24				
6/15/2010 02:06:24				
6/15/2010 02:07:24				
6/15/2010 02:08:24				
6/15/2010 02:09:24	4.26223	0.0113137		
6/15/2010 02:10:24	0.19555	5.99E-04		
6/15/2010 02:11:24				
6/15/2010 02:12:24				
6/15/2010 02:13:24				
6/15/2010 02:14:24				
6/15/2010 02:15:24				
6/15/2010 02:16:24				
6/15/2010 02:17:24				
6/15/2010 02:18:24				
6/15/2010 02:19:24	3.1195	0.00902955		
6/15/2010 02:20:24	0.153458	0.000334551		
6/15/2010 02:21:24				
6/15/2010 02:22:24				
6/15/2010 02:23:24				
6/15/2010 02:24:24				
6/15/2010 02:25:24				
6/15/2010 02:26:24				
6/15/2010 02:27:24				
6/15/2010 02:28:24				
6/15/2010 02:29:24	3.53508	0.0102892		
6/15/2010 02:30:24	0.167452	0.000634852		
6/15/2010 02:31:24				
6/15/2010 02:32:24				
6/15/2010 02:33:24				
6/15/2010 02:34:24				
6/15/2010 02:35:24				
6/15/2010 02:36:24				
6/15/2010 02:37:24				
6/15/2010 02:38:24				
6/15/2010 02:39:24	3.79036	0.0119885		
6/15/2010 02:40:24	0.184099	4.91E-04		
6/15/2010 02:41:24				
6/15/2010 02:42:24				
6/15/2010 02:43:24				
6/15/2010 02:44:24				
6/15/2010 02:45:24				
6/15/2010 02:46:24				
6/15/2010 02:47:24				
6/15/2010 02:48:24				
6/15/2010 02:49:24	3.19324	0.008736		
6/15/2010 02:50:24	0.159492	0.000577273		
6/15/2010 02:51:24				
6/15/2010 02:52:24				
6/15/2010 02:53:24				
6/15/2010 02:54:24				
6/15/2010 02:55:24				
6/15/2010 02:56:24				
6/15/2010 02:57:24				
6/15/2010 02:58:24				
6/15/2010 02:59:24	2.46546	0.0097116		
6/15/2010 03:00:24	0.139283	0.000493338		
6/15/2010 03:01:24				
6/15/2010 03:02:24				
6/15/2010 03:03:24				
6/15/2010 03:04:24				
6/15/2010 03:05:24				
6/15/2010 03:06:24				
6/15/2010 03:07:24				
6/15/2010 03:08:24				
6/15/2010 03:09:24	2.63529	0.0105648		
6/15/2010 03:10:24	0.145407	4.68E-04		
6/15/2010 03:11:24				
6/15/2010 03:12:24				
6/15/2010 03:13:24				
6/15/2010 03:14:24				
6/15/2010 03:15:24				
6/15/2010 03:16:24				
6/15/2010 03:17:24				
6/15/2010 03:18:24				
6/15/2010 03:19:24	2.58396	0.00849637		
6/15/2010 03:20:24	0.147118	0.000471503		
6/15/2010 03:21:24				
6/15/2010 03:22:24				
6/15/2010 03:23:24				
6/15/2010 03:24:24				
6/15/2010 03:25:24				
6/15/2010 03:26:24				
6/15/2010 03:27:24				
6/15/2010 03:28:24				
6/15/2010 03:29:24	2.41379	0.00871078		
6/15/2010 03:30:24	0.121676	0.000198265		
6/15/2010 03:31:24				
6/15/2010 03:32:24				
6/15/2010 03:33:24				
6/15/2010 03:34:24				
6/15/2010 03:35:24				
6/15/2010 03:36:24				
6/15/2010 03:37:24				
6/15/2010 03:38:24				
6/15/2010 03:39:24	2.60586	0.00893909		
6/15/2010 03:40:24	0.144381	5.48E-04		
6/15/2010 03:41:24				
6/15/2010 03:42:24				
6/15/2010 03:43:24				
6/15/2010 03:44:24				
6/15/2010 03:45:24				
6/15/2010 03:46:24				
6/15/2010 03:47:24				
6/15/2010 03:48:24				
6/15/2010 03:49:24	3.3224	0.0131081		
6/15/2010 03:50:24	0.157454	0.000767182		
6/15/2010 03:51:24				
6/15/2010 03:52:24				
6/15/2010 03:53:24				
6/15/2010 03:54:24				
6/15/2010 03:55:24				
6/15/2010 03:56:24				
6/15/2010 03:57:24				
6/15/2010 03:58:24				
6/15/2010 03:59:24	2.1978	0.00547416		
6/15/2010 04:00:24	0.122458	0.000265297		
6/15/2010 04:01:24				
6/15/2010 04:02:24				
6/15/2010 04:03:24				
6/15/2010 04:04:24				
6/15/2010 04:05:24				
6/15/2010 04:06:24				
6/15/2010 04:07:24				
6/15/2010 04:08:24				
6/15/2010 04:09:24	2.25303	0.00805952		
6/15/2010 04:10:24	0.142576	4.21E-04		
6/15/2010 04:11:24				
6/15/2010 04:12:24				
6/15/2010 04:13:24				
6/15/2010 04:14:24				
6/15/2010 04:15:24				
6/15/2010 04:16:24				
6/15/2010 04:17:24				
6/15/2010 04:18:24				
6/15/2010 04:19:24	2.39384	0.00624822		
6/15/2010 04:20:24	0.125068	0.000435217		
6/15/2010 04:21:24				
6/15/2010 04:22:24				
6/15/2010 04:23:24				
6/15/2010 04:24:24				
6/15/2010 04:25:24				
6/15/2010 04:26:24				
6/15/2010 04:27:24				
6/15/2010 04:28:24				
6/15/2010 04:29:24	2.92683	0.00760032		
